測站編號,測站名稱,城市,經度,緯度,觀測時間,AQI,空氣品質等級,主要污染物,PM2.5,PM10,O3,O3_8hr,NO2,SO2,CO,CO_8hr,NOx,NO,風速,風向,PM2.5_平均,PM10_平均,SO2_平均
15,松山,臺北市,121.578611,25.05,2026-02-24 17:00:00,72.0,普通,細懸浮微粒,20.0,33.0,29.0,22.0,14.0,2.0,0.3,0.4,15.5,1.3,1.8,295.0,20.3,40.0,1.0
23,竹東,新竹縣,121.08895493,24.74091408,2026-02-24 17:00:00,70.0,普通,細懸浮微粒,16.0,40.0,25.0,25.0,12.0,1.1,0.25,0.2,13.8,1.4,0.8,317.0,19.5,47.0,0.0
16,大同,臺北市,121.51342074,25.06331455,2026-02-24 17:00:00,69.0,普通,細懸浮微粒,16.0,35.0,17.0,15.0,27.0,0.8,0.85,0.8,40.3,12.5,,,19.0,40.0,0.0
13,萬華,臺北市,121.507972,25.046503,2026-02-24 17:00:00,69.0,普通,細懸浮微粒,16.0,40.0,15.0,19.0,28.0,1.5,0.48,0.5,32.0,3.8,0.8,341.0,19.2,44.0,1.0
14,古亭,臺北市,121.529556,25.020608,2026-02-24 17:00:00,69.0,普通,細懸浮微粒,14.0,33.0,22.0,23.0,20.0,1.5,0.33,0.4,22.4,2.3,1.0,20.0,18.9,39.0,1.0
2,汐止,新北市,121.64081,25.06624,2026-02-24 17:00:00,68.0,普通,細懸浮微粒,11.0,38.0,27.0,20.0,15.0,1.1,0.27,0.4,17.8,1.9,0.6,340.0,18.7,38.0,1.0
4,新店,新北市,121.537778,24.977222,2026-02-24 17:00:00,68.0,普通,細懸浮微粒,22.0,49.0,26.0,27.0,22.0,2.0,0.36,0.4,24.8,2.3,0.9,273.0,18.8,42.0,1.0
204,屏東（琉球）,屏東縣,120.37722,22.35222,2026-02-24 17:00:00,67.0,普通,懸浮微粒,7.0,30.0,31.0,32.0,1.0,0.6,0.14,0.1,1.8,0.4,1.3,195.0,15.7,45.0,0.0
27,三義,苗栗縣,120.75956754,24.38248443,2026-02-24 17:00:00,58.0,普通,細懸浮微粒,15.0,34.0,36.0,36.0,4.0,1.2,0.19,0.1,5.8,1.2,2.2,18.0,15.0,36.0,1.0
313,屏東（枋山）,屏東縣,120.651472,22.260899,2026-02-24 17:00:00,51.0,普通,懸浮微粒,4.0,25.0,35.0,37.0,2.0,0.1,0.16,0.1,3.1,0.6,2.9,114.0,12.4,31.0,1.0
64,陽明,臺北市,121.529583,25.182722,2026-02-24 17:00:00,51.0,普通,細懸浮微粒,15.0,27.0,30.0,32.0,1.0,1.9,0.18,0.2,2.5,0.8,,,12.5,26.0,1.0
66,冬山,宜蘭縣,121.792928,24.632203,2026-02-24 17:00:00,45.0,良好,,14.0,37.0,34.0,35.0,10.0,0.5,0.23,0.2,13.0,2.4,1.3,340.0,10.5,27.0,0.0
63,花蓮,花蓮縣,121.599769,23.971306,2026-02-24 17:00:00,42.0,良好,,12.0,29.0,33.0,30.0,3.0,0.3,0.19,0.1,4.4,1.2,1.1,168.0,10.4,20.0,0.0
65,宜蘭,宜蘭縣,121.746394,24.747917,2026-02-24 17:00:00,37.0,良好,,10.0,22.0,30.0,31.0,6.0,0.5,0.21,0.1,6.9,0.7,1.7,69.0,9.2,17.0,0.0
62,臺東,臺東縣,121.15045,22.755358,2026-02-24 17:00:00,32.0,良好,,12.0,23.0,32.0,31.0,3.0,0.9,0.2,0.1,5.2,1.6,0.8,141.0,8.0,16.0,1.0
61,恆春,屏東縣,120.788928,21.958069,2026-02-24 17:00:00,31.0,良好,,5.0,19.0,32.0,34.0,0.0,1.0,0.11,0.1,1.2,0.3,2.7,65.0,6.2,17.0,0.0
80,關山,臺東縣,121.161933,23.045083,2026-02-24 17:00:00,29.0,良好,,,24.0,,31.0,2.0,,0.12,0.1,3.5,0.7,2.9,215.0,4.4,13.0,0.0
