序號,避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,預計收容人數,室內,室外,最近AQI站點,最近AQI站點經度,最近AQI站點緯度,距離(km),最近AQI值,風險等級
5649,竹圍國小,桃園市大園區,竹圍里,2鄰竹圍街3號,121.244253,25.103671,700,是,是,桃園站,121.3,24.99,13.83,45,Low Risk
5652,竹圍社區活動中心,桃園市大園區,竹圍里,8鄰竹圍街90-6號,121.241682,25.104511,160,是,否,桃園站,121.3,24.99,14.02,45,Low Risk
5674,海口社區活動中心,桃園市大園區,海口里,4鄰87-1號2樓,121.241381,25.108652,350,是,是,桃園站,121.3,24.99,14.45,45,Low Risk
10,東莒老人活動中心,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666,0,否,否,新竹站,120.96,24.81,161.26,35,Low Risk
12,莒光指揮部國軍文康中心,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828,0,否,否,新竹站,120.96,24.81,165.94,35,Low Risk
14,青帆老人活動中心,連江縣莒光鄉,青帆村,1號,119.933712,25.969995,150,否,否,新竹站,120.96,24.81,165.12,35,Low Risk
15,敬恆國中小禮堂,連江縣莒光鄉,青帆村,18號,119.933934,25.970819,200,否,否,新竹站,120.96,24.81,165.18,35,Low Risk
16,東莒國小綜合教室,連江縣莒光鄉,大坪村,4號,119.97711,25.957484,200,否,否,新竹站,120.96,24.81,161.34,35,Low Risk
5948,馬祖綜合福利園區,連江縣北竿鄉,,100號,119.9428,26.1525,0,是,否,新竹站,120.96,24.81,180.86,35,Low Risk
5949,國立馬祖高中,連江縣南竿鄉,介壽村,374號,119.9551,26.1541,0,是,否,新北站,121.46,25.27,179.98,65,Low Risk
5950,連江縣體育館,連江縣南竿鄉,介壽村,374-2號,119.9533,26.155,0,是,否,新北站,121.46,25.27,180.19,65,Low Risk
5951,老人活動中心,連江縣南竿鄉,介壽村,156號,119.9575,26.1551,0,是,否,新北站,121.46,25.27,179.84,65,Low Risk
5952,中正國中小學教室,連江縣南竿鄉,馬祖村,4號,119.9254,26.1591,0,是,否,新竹站,120.96,24.81,182.45,35,Low Risk
5953,介壽國中小學教室,連江縣南竿鄉,介壽村,13號,119.9551,26.1601,0,是,否,新北站,121.46,25.27,180.35,65,Low Risk
5954,福沃候船大樓,連江縣南竿鄉,福沃村,港口,119.9494,26.1605,0,是,否,新北站,121.46,25.27,180.85,65,Low Risk
5955,港務大樓,連江縣北竿鄉,白沙村,72號,119.969141,26.205717,100,否,否,新北站,121.46,25.27,182.0,65,Warning
5956,?里國小,連江縣北竿鄉,,59號,119.974369,26.215342,0,否,否,新北站,121.46,25.27,182.18,65,Warning
5957,塘岐國小,連江縣北竿鄉,塘岐村,55號,119.997023,26.223545,0,否,否,新北站,121.46,25.27,180.86,65,Warning
5958,楊公八使廟,連江縣北竿鄉,后沃村,22號,120.007001,26.223712,0,否,否,新北站,121.46,25.27,180.06,65,Warning
5959,中山國中,連江縣北竿鄉,芹壁村,84號,119.980487,26.224023,0,否,否,新北站,121.46,25.27,182.24,65,Warning
5960,老人活動中心,連江縣北竿鄉,塘岐村,260-1號,119.997413,26.225534,0,否,否,新北站,121.46,25.27,180.96,65,Warning
5961,塘歧羽球館,連江縣北竿鄉,塘岐村,北竿鄉塘岐村,119.996627,26.227096,0,否,否,新北站,121.46,25.27,181.12,65,Warning
5962,三合殿,連江縣北竿鄉,橋仔村,100號,119.993381,26.234607,0,否,否,新北站,121.46,25.27,181.87,65,Warning
5963,東引鄉活動中心,連江縣東引鄉,樂華村,72-1號,120.487955,26.366913,0,否,否,新北站,121.46,25.27,156.02,65,Warning
5964,東引國中小教室,連江縣東引鄉,中柳村,94號,120.488451,26.367919,0,否,否,新北站,121.46,25.27,156.08,65,Warning
5965,東引鄉體育館,連江縣東引鄉,中柳村,95號,120.487894,26.368364,0,否,否,新北站,121.46,25.27,156.15,65,Warning
29,高雄市前鎮區光華國民小學,高雄市前鎮區,竹中里,廣西路57號,120.32,22.615,300,否,否,高雄站,120.31,22.62,1.17,105,High Risk
32,高雄市小港區鳳林國民小學,高雄市小港區,鳳源里,鳳林路207號,120.343,22.527,300,否,否,高雄站,120.31,22.62,10.88,105,High Risk
198,高雄市立中芸國民中學,高雄市林園區,中芸里,中芸路3-100號,120.395311,22.485875,700,否,否,高雄站,120.31,22.62,17.3,105,High Risk
199,中芸國小,高雄市林園區,中芸里,中芸路1號,120.3967,22.4871,500,是,否,高雄站,120.31,22.62,17.25,105,High Risk
205,高雄市林園區港埔國民小學,高雄市林園區,頂厝里,校前路1號,120.378585,22.504297,690,是,否,高雄站,120.31,22.62,14.67,105,High Risk
206,高雄市林園區王公國民小學,高雄市林園區,廣應里,王公二路100號,120.388254,22.504698,1100,否,否,高雄站,120.31,22.62,15.13,105,High Risk
207,高雄市林園區林園國民小學,高雄市林園區,林園里,忠孝西路20號,120.394303,22.506778,2000,是,否,高雄站,120.31,22.62,15.28,105,High Risk
208,林園區長青文康活動中心,高雄市林園區,林園里,林園北路191號,120.3945,22.5087,260,是,否,高雄站,120.31,22.62,15.11,105,High Risk
214,高雄市小港區鳳鳴國民小學,高雄市小港區,龍鳳里,鳳鳴路191號,120.357564,22.515082,200,否,否,高雄站,120.31,22.62,12.65,105,High Risk
216,高雄市立林園高級中學,高雄市林園區,林園里,林園北路481號,120.395661,22.516726,2600,是,否,高雄站,120.31,22.62,14.46,105,High Risk
218,高雄市小港區鳳林國民中學,高雄市小港區,鳳興里,龍鳳路559號,120.348385,22.52185,50,否,否,高雄站,120.31,22.62,11.6,105,High Risk
223,高雄市林園區金潭國民小學,高雄市林園區,中厝里,金潭路40號,120.396078,22.528055,260,是,否,高雄站,120.31,22.62,13.51,105,High Risk
230,義仁里社區活動中心,高雄市大寮區,義仁里,鳳林一路48號,120.403252,22.539227,100,否,否,高雄站,120.31,22.62,13.13,105,High Risk
232,高雄市大寮區昭明國小,高雄市大寮區,昭明里,鳳林一路300巷80號,120.408514,22.54239,350,否,否,高雄站,120.31,22.62,13.3,105,High Risk
244,會結里社區活動中心,高雄市大寮區,會結里,會結路14-3號,120.424982,22.554827,100,否,否,高雄站,120.31,22.62,13.85,105,High Risk
248,新厝里社區活動中心,高雄市大寮區,新厝里,新三街50號,120.40918,22.560361,20,否,否,高雄站,120.31,22.62,12.15,105,High Risk
249,高雄市小港區小港國民小學,高雄市小港區,港正里,平和路1號,120.336089,22.56103,300,否,否,高雄站,120.31,22.62,7.08,105,High Risk
251,高雄市小港區鳳陽國民小學,高雄市小港區,山明里,鳳陽街2號,120.370393,22.561551,600,否,否,高雄站,120.31,22.62,8.98,105,High Risk
252,潮寮老人活動中心,高雄市大寮區,潮寮里,潮龍路151號,120.430298,22.562091,35,否,否,高雄站,120.31,22.62,13.93,105,High Risk
254,高雄市立潮寮國民中學,高雄市大寮區,潮寮里,潮寮路51-9號,120.425175,22.563415,60,否,否,高雄站,120.31,22.62,13.39,105,High Risk
255,高雄市小港區二苓國民小學,高雄市小港區,二苓里,立群路6號,120.3533,22.5638,1000,是,否,高雄站,120.31,22.62,7.67,105,High Risk
256,高雄市立小港高級中學,高雄市小港區,二苓里,學府路117號,120.357413,22.565249,100,否,否,高雄站,120.31,22.62,7.79,105,High Risk
257,高雄市大寮區潮寮國小,高雄市大寮區,潮寮里,潮寮路61號,120.425144,22.565716,240,否,否,高雄站,120.31,22.62,13.27,105,High Risk
258,國立高雄餐旅大學附屬餐旅高級中等學校,高雄市小港區,山明里,松和路40號,120.371763,22.566216,200,否,否,高雄站,120.31,22.62,8.72,105,High Risk
259,高雄市小港區漢民國民小學,高雄市小港區,六苓里,漢民路500號,120.35926,22.566473,200,否,否,高雄站,120.31,22.62,7.81,105,High Risk
260,高雄市立中山國民中學,高雄市小港區,順苓里,漢民路352號,120.356421,22.56665,700,否,否,高雄站,120.31,22.62,7.61,105,High Risk
261,高雄市立小港國民中學,高雄市小港區,港南里,平和南路185號,120.338056,22.566732,720,否,否,高雄站,120.31,22.62,6.59,105,High Risk
262,高雄市小港區華山國民小學,高雄市小港區,山明里,華仁街1號,120.3657,22.5677,901,是,否,高雄站,120.31,22.62,8.16,105,High Risk
263,高雄市小港區港和國民小學,高雄市小港區,港南里,平和南路300號,120.3379,22.5681,250,是,否,高雄站,120.31,22.62,6.44,105,High Risk
267,高雄市前鎮區佛公國民小學,高雄市前鎮區,草衙里,后平路135號,120.320909,22.572651,655,否,否,高雄站,120.31,22.62,5.38,105,High Risk
270,過溪里社區活動中心,高雄市大寮區,過溪里,過溪路130號,120.418885,22.576183,150,否,否,高雄站,120.31,22.62,12.19,105,High Risk
273,高雄市前鎮區明正國民小學,高雄市前鎮區,明正里,明道路2號,120.326581,22.580243,345,否,否,高雄站,120.31,22.62,4.74,105,High Risk
274,高雄市立明義國民中學,高雄市小港區,孔宅里,明義街2號,120.368282,22.582027,1000,否,否,高雄站,120.31,22.62,7.32,105,High Risk
275,清山寺,高雄市大寮區,拷潭里,拷潭路126-1號,120.385461,22.582377,80,否,否,高雄站,120.31,22.62,8.8,105,High Risk
278,高雄市小港區桂林國民小學,高雄市小港區,桂林里,桂陽路390號,120.350425,22.583128,1255,否,否,高雄站,120.31,22.62,5.83,105,High Risk
279,高雄市立前鎮國民中學,高雄市前鎮區,明道里,新衙路17號,120.321031,22.583367,1200,是,否,高雄站,120.31,22.62,4.23,105,High Risk
280,高雄市小港區明義國民小學,高雄市小港區,孔宅里,明義街77號,120.3678,22.5834,200,是,否,高雄站,120.31,22.62,7.2,105,High Risk
282,富翔天廈,高雄市大寮區,拷潭里,拷潭路163-1號,120.380306,22.584752,70,否,否,高雄站,120.31,22.62,8.21,105,High Risk
283,高雄市前鎮區前鎮國民小學,高雄市前鎮區,興化里,新生路200號,120.308702,22.585437,473,否,否,高雄站,120.31,22.62,3.85,105,High Risk
284,高雄市立興仁國民中學,高雄市前鎮區,興仁里,德昌路345號,120.3139,22.5863,945,是,否,高雄站,120.31,22.62,3.77,105,High Risk
285,高雄市立前鎮高級中學,高雄市前鎮區,平等里,鎮中路132號,120.32001,22.586862,2236,否,否,高雄站,120.31,22.62,3.83,105,High Risk
287,高雄市旗津區大汕國民小學,高雄市旗津區,南汕里,中洲二路203號,120.2877,22.5879,250,是,否,高雄站,120.31,22.62,4.24,105,High Risk
288,高雄市立旗津國民中學,高雄市旗津區,南汕里,中洲二路207號,120.286,22.5885,600,是,否,高雄站,120.31,22.62,4.28,105,High Risk
292,高雄市旗津區公所5樓大禮堂,高雄市旗津區,南汕里,旗津三路2號5樓,120.284774,22.589974,250,否,否,高雄站,120.31,22.62,4.23,105,High Risk
293,佛聖宮,高雄市大寮區,內坑里,內坑路148號,120.381144,22.590008,200,否,否,高雄站,120.31,22.62,8.03,105,High Risk
294,高雄市鳳山區過埤國民小學,高雄市鳳山區,過埤里,過埤路176號,120.362405,22.590382,393,是,否,高雄站,120.31,22.62,6.31,105,High Risk
295,高雄市立福誠高級中學,高雄市鳳山區,福誠里,五甲三路176號,120.323885,22.590487,1139,否,否,高雄站,120.31,22.62,3.58,105,High Risk
296,高雄市前鎮區鎮昌國民小學,高雄市前鎮區,鎮海里,樹人路261號,120.317983,22.590548,1200,否,否,高雄站,120.31,22.62,3.38,105,High Risk
298,高雄市大寮區大寮國民小學,高雄市大寮區,大寮里,大寮路740號,120.416445,22.590861,420,否,否,高雄站,120.31,22.62,11.4,105,High Risk
300,大寮里社區活動中心,高雄市大寮區,大寮里,大寮路781號,120.416643,22.591471,150,否,否,高雄站,120.31,22.62,11.4,105,High Risk
